,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169
m58,15.0,19.0,40.0,32.0,35.0,23.0,47.0,31.0,32.0,28.0,22.0,14.0,8.0,17.0,48.0,6.0,17.0,24.0,17.0,42.0,12.0,18.0,21.0,31.0,32.0,25.0,26.0,25.0,11.0,5.0,28.0,3.0,13.0,20.0,34.0,25.0,27.0,8.0,11.0,39.0,29.0,29.0,30.0,18.0,21.0,32.0,24.0,12.0,15.0,26.0,19.0,42.0,40.0,12.0,15.0,34.0,13.0,16.0,6.0,23.0,14.0,21.0,9.0,18.0,36.0,22.0,5.0,15.0,9.0,16.0,9.0,10.0,3.0,11.0,18.0,8.0,2.0,34.0,0.0,16.0,17.0,45.0,38.0,32.0,40.0,24.0,42.0,43.0,38.0,24.0,14.0,33.0,36.0,38.0,25.0,36.0,19.0,29.0,30.0,23.0,32.0,22.0,31.0,16.0,8.0,14.0,6.0,38.0,46.0,40.0,18.0,19.0,16.0,28.0,24.0,23.0,23.0,6.0,16.0,10.0,17.0,10.0,11.0,4.0,12.0,19.0,9.0,3.0,1.0,18.0,32.0,30.0,22.0,27.0,25.0,42.0,39.0,37.0,28.0,31.0,29.0,36.0,33.0,36.0,33.0,35.0,30.0,32.0,35.0,24.0,22.0,25.0,23.0,37.0,34.0,22.0,20.0,11.0,29.0,26.0,30.0,27.0,27.0,24.0,43.0,36.0,38.0,40.0,38.0,31.0,33.0,35.0,41.0,37.0,39.0,45.0,21.0,39.0,39.0,40.0,22.0,38.0,32.0,33.0,30.0,46.0,41.0,15.0,24.0,9.0
m59,7.0,3.0,56.0,48.0,51.0,21.0,63.0,47.0,28.0,44.0,38.0,30.0,24.0,33.0,32.0,22.0,1.0,40.0,11.0,58.0,4.0,2.0,37.0,47.0,48.0,41.0,22.0,41.0,27.0,21.0,20.0,19.0,5.0,36.0,50.0,41.0,43.0,24.0,27.0,31.0,45.0,45.0,26.0,34.0,37.0,24.0,20.0,10.0,13.0,18.0,35.0,34.0,56.0,28.0,31.0,26.0,9.0,12.0,22.0,39.0,8.0,37.0,25.0,10.0,28.0,38.0,21.0,31.0,7.0,32.0,25.0,6.0,19.0,5.0,34.0,24.0,18.0,18.0,16.0,0.0,33.0,29.0,22.0,16.0,24.0,8.0,26.0,59.0,54.0,40.0,30.0,49.0,52.0,54.0,23.0,52.0,35.0,45.0,46.0,39.0,48.0,38.0,47.0,32.0,24.0,30.0,22.0,54.0,62.0,56.0,34.0,35.0,32.0,44.0,40.0,39.0,39.0,22.0,32.0,8.0,33.0,26.0,7.0,20.0,6.0,35.0,25.0,19.0,17.0,34.0,16.0,14.0,6.0,21.0,19.0,58.0,55.0,53.0,44.0,29.0,27.0,34.0,31.0,52.0,49.0,51.0,46.0,48.0,51.0,40.0,38.0,41.0,39.0,33.0,30.0,38.0,36.0,27.0,45.0,42.0,46.0,43.0,43.0,40.0,27.0,20.0,22.0,24.0,32.0,25.0,27.0,29.0,57.0,53.0,55.0,61.0,37.0,37.0,55.0,36.0,38.0,54.0,48.0,49.0,46.0,30.0,35.0,31.0,40.0,25.0
m60,32.0,36.0,23.0,39.0,22.0,40.0,32.0,30.0,49.0,11.0,7.0,15.0,21.0,28.0,65.0,23.0,34.0,7.0,34.0,25.0,29.0,35.0,28.0,18.0,17.0,24.0,43.0,8.0,12.0,18.0,45.0,20.0,30.0,3.0,17.0,32.0,34.0,15.0,18.0,56.0,36.0,28.0,47.0,5.0,8.0,49.0,41.0,29.0,32.0,43.0,4.0,59.0,25.0,11.0,14.0,51.0,30.0,33.0,17.0,6.0,31.0,4.0,20.0,35.0,53.0,5.0,12.0,2.0,26.0,1.0,8.0,27.0,14.0,28.0,1.0,9.0,15.0,51.0,17.0,33.0,0.0,62.0,55.0,49.0,57.0,41.0,59.0,28.0,21.0,25.0,15.0,16.0,21.0,21.0,42.0,19.0,26.0,16.0,15.0,22.0,15.0,23.0,14.0,29.0,21.0,31.0,23.0,23.0,31.0,23.0,31.0,30.0,33.0,11.0,7.0,6.0,6.0,13.0,3.0,27.0,2.0,9.0,28.0,15.0,29.0,2.0,10.0,16.0,18.0,1.0,49.0,47.0,39.0,44.0,42.0,29.0,26.0,24.0,29.0,48.0,46.0,53.0,50.0,35.0,32.0,36.0,31.0,33.0,42.0,37.0,35.0,36.0,34.0,54.0,51.0,39.0,37.0,18.0,42.0,39.0,41.0,38.0,44.0,41.0,60.0,53.0,55.0,57.0,55.0,48.0,50.0,52.0,24.0,20.0,22.0,32.0,8.0,56.0,38.0,57.0,7.0,39.0,45.0,44.0,47.0,63.0,58.0,14.0,7.0,20.0
m61,36.0,28.0,53.0,23.0,40.0,22.0,38.0,32.0,13.0,73.0,55.0,59.0,53.0,34.0,3.0,51.0,30.0,69.0,28.0,39.0,33.0,27.0,34.0,44.0,45.0,38.0,19.0,70.0,56.0,50.0,17.0,48.0,34.0,65.0,47.0,30.0,28.0,53.0,44.0,6.0,26.0,34.0,15.0,63.0,54.0,13.0,21.0,39.0,30.0,19.0,64.0,9.0,37.0,57.0,48.0,11.0,38.0,29.0,51.0,68.0,37.0,66.0,42.0,27.0,9.0,67.0,50.0,60.0,36.0,61.0,54.0,35.0,48.0,34.0,63.0,53.0,47.0,11.0,45.0,29.0,62.0,0.0,7.0,13.0,5.0,21.0,3.0,34.0,51.0,37.0,47.0,46.0,41.0,43.0,20.0,53.0,36.0,46.0,47.0,40.0,49.0,39.0,48.0,33.0,41.0,31.0,39.0,39.0,37.0,41.0,31.0,32.0,29.0,61.0,57.0,56.0,68.0,51.0,61.0,37.0,62.0,55.0,36.0,49.0,35.0,64.0,54.0,48.0,46.0,63.0,13.0,15.0,23.0,18.0,20.0,33.0,36.0,38.0,33.0,14.0,16.0,9.0,12.0,27.0,30.0,26.0,31.0,29.0,26.0,25.0,27.0,26.0,28.0,8.0,11.0,23.0,25.0,56.0,20.0,23.0,21.0,24.0,18.0,21.0,2.0,9.0,7.0,5.0,7.0,14.0,12.0,10.0,38.0,42.0,40.0,36.0,66.0,12.0,30.0,11.0,67.0,29.0,23.0,24.0,21.0,5.0,10.0,60.0,69.0,54.0
m62,29.0,21.0,46.0,30.0,33.0,15.0,45.0,29.0,10.0,66.0,48.0,52.0,46.0,27.0,10.0,44.0,23.0,62.0,21.0,40.0,26.0,20.0,27.0,37.0,38.0,31.0,12.0,63.0,49.0,43.0,10.0,41.0,27.0,58.0,40.0,23.0,25.0,46.0,37.0,13.0,27.0,27.0,8.0,56.0,47.0,6.0,14.0,32.0,23.0,12.0,57.0,16.0,38.0,50.0,41.0,8.0,31.0,22.0,44.0,61.0,30.0,59.0,35.0,20.0,10.0,60.0,43.0,53.0,29.0,54.0,47.0,28.0,41.0,27.0,56.0,46.0,40.0,4.0,38.0,22.0,55.0,7.0,0.0,6.0,2.0,14.0,4.0,41.0,44.0,30.0,40.0,39.0,34.0,36.0,13.0,46.0,29.0,39.0,40.0,33.0,42.0,32.0,41.0,26.0,34.0,24.0,32.0,36.0,44.0,38.0,24.0,25.0,22.0,54.0,50.0,49.0,61.0,44.0,54.0,30.0,55.0,48.0,29.0,42.0,28.0,57.0,47.0,41.0,39.0,56.0,6.0,8.0,16.0,11.0,13.0,40.0,37.0,35.0,26.0,11.0,9.0,16.0,13.0,34.0,31.0,33.0,28.0,30.0,33.0,22.0,20.0,23.0,21.0,15.0,12.0,20.0,18.0,49.0,27.0,24.0,28.0,25.0,25.0,22.0,9.0,2.0,4.0,6.0,14.0,7.0,9.0,11.0,39.0,35.0,37.0,43.0,59.0,19.0,37.0,18.0,60.0,36.0,30.0,31.0,28.0,12.0,17.0,53.0,62.0,47.0
m63,23.0,15.0,44.0,36.0,39.0,9.0,51.0,35.0,16.0,60.0,42.0,46.0,40.0,21.0,16.0,38.0,17.0,56.0,15.0,46.0,20.0,14.0,25.0,35.0,36.0,29.0,10.0,57.0,43.0,37.0,8.0,35.0,21.0,52.0,38.0,29.0,31.0,40.0,31.0,19.0,33.0,33.0,14.0,50.0,41.0,12.0,8.0,26.0,17.0,6.0,51.0,22.0,44.0,44.0,35.0,14.0,25.0,16.0,38.0,55.0,24.0,53.0,29.0,14.0,16.0,54.0,37.0,47.0,23.0,48.0,41.0,22.0,35.0,21.0,50.0,40.0,34.0,2.0,32.0,16.0,49.0,13.0,6.0,0.0,8.0,8.0,10.0,47.0,42.0,28.0,34.0,37.0,40.0,42.0,11.0,40.0,23.0,33.0,34.0,27.0,36.0,26.0,35.0,20.0,28.0,18.0,26.0,42.0,50.0,44.0,22.0,23.0,20.0,48.0,44.0,43.0,55.0,38.0,48.0,24.0,49.0,42.0,23.0,36.0,22.0,51.0,41.0,35.0,33.0,50.0,4.0,2.0,10.0,9.0,7.0,46.0,43.0,41.0,32.0,17.0,15.0,22.0,19.0,40.0,37.0,39.0,34.0,36.0,39.0,28.0,26.0,29.0,27.0,21.0,18.0,26.0,24.0,43.0,33.0,30.0,34.0,31.0,31.0,28.0,15.0,8.0,10.0,12.0,20.0,13.0,15.0,17.0,45.0,41.0,43.0,49.0,53.0,25.0,43.0,24.0,54.0,42.0,36.0,37.0,34.0,18.0,23.0,47.0,56.0,41.0
m64,31.0,23.0,48.0,28.0,35.0,17.0,43.0,27.0,8.0,68.0,50.0,54.0,48.0,29.0,8.0,46.0,25.0,64.0,23.0,38.0,28.0,22.0,29.0,39.0,40.0,33.0,14.0,65.0,51.0,45.0,12.0,43.0,29.0,60.0,42.0,25.0,23.0,48.0,39.0,11.0,25.0,29.0,10.0,58.0,49.0,8.0,16.0,34.0,25.0,14.0,59.0,14.0,36.0,52.0,43.0,6.0,33.0,24.0,46.0,63.0,32.0,61.0,37.0,22.0,8.0,62.0,45.0,55.0,31.0,56.0,49.0,30.0,43.0,29.0,58.0,48.0,42.0,6.0,40.0,24.0,57.0,5.0,2.0,8.0,0.0,16.0,2.0,39.0,46.0,32.0,42.0,41.0,36.0,38.0,15.0,48.0,31.0,41.0,42.0,35.0,44.0,34.0,43.0,28.0,36.0,26.0,34.0,34.0,42.0,36.0,26.0,27.0,24.0,56.0,52.0,51.0,63.0,46.0,56.0,32.0,57.0,50.0,31.0,44.0,30.0,59.0,49.0,43.0,41.0,58.0,8.0,10.0,18.0,13.0,15.0,38.0,35.0,33.0,28.0,9.0,11.0,14.0,11.0,32.0,29.0,31.0,26.0,28.0,31.0,20.0,22.0,21.0,23.0,13.0,10.0,18.0,20.0,51.0,25.0,22.0,26.0,23.0,23.0,20.0,7.0,4.0,2.0,4.0,12.0,9.0,7.0,9.0,37.0,37.0,35.0,41.0,61.0,17.0,35.0,16.0,62.0,34.0,28.0,29.0,26.0,10.0,15.0,55.0,64.0,49.0
m65,15.0,7.0,52.0,44.0,47.0,17.0,59.0,43.0,24.0,52.0,34.0,38.0,32.0,29.0,24.0,30.0,9.0,48.0,7.0,54.0,12.0,6.0,33.0,43.0,44.0,37.0,18.0,49.0,35.0,29.0,16.0,27.0,13.0,44.0,46.0,37.0,39.0,32.0,23.0,27.0,41.0,41.0,22.0,42.0,33.0,20.0,16.0,18.0,9.0,14.0,43.0,30.0,52.0,36.0,27.0,22.0,17.0,8.0,30.0,47.0,16.0,45.0,21.0,6.0,24.0,46.0,29.0,39.0,15.0,40.0,33.0,14.0,27.0,13.0,42.0,32.0,26.0,10.0,24.0,8.0,41.0,21.0,14.0,8.0,16.0,0.0,18.0,55.0,50.0,36.0,26.0,45.0,48.0,50.0,19.0,48.0,31.0,41.0,42.0,35.0,44.0,34.0,43.0,28.0,20.0,26.0,18.0,50.0,58.0,52.0,30.0,31.0,28.0,40.0,36.0,35.0,47.0,30.0,40.0,16.0,41.0,34.0,15.0,28.0,14.0,43.0,33.0,27.0,25.0,42.0,12.0,10.0,2.0,17.0,15.0,54.0,51.0,49.0,40.0,25.0,23.0,30.0,27.0,48.0,45.0,47.0,42.0,44.0,47.0,36.0,34.0,37.0,35.0,29.0,26.0,34.0,32.0,35.0,41.0,38.0,42.0,39.0,39.0,36.0,23.0,16.0,18.0,20.0,28.0,21.0,23.0,25.0,53.0,49.0,51.0,57.0,45.0,33.0,51.0,32.0,46.0,50.0,44.0,45.0,42.0,26.0,31.0,39.0,48.0,33.0
m66,33.0,25.0,50.0,26.0,37.0,19.0,41.0,29.0,10.0,70.0,52.0,56.0,50.0,31.0,6.0,48.0,27.0,66.0,25.0,36.0,30.0,24.0,31.0,41.0,42.0,35.0,16.0,67.0,53.0,47.0,14.0,45.0,31.0,62.0,44.0,27.0,25.0,50.0,41.0,9.0,23.0,31.0,12.0,60.0,51.0,10.0,18.0,36.0,27.0,16.0,61.0,12.0,34.0,54.0,45.0,8.0,35.0,26.0,48.0,65.0,34.0,63.0,39.0,24.0,6.0,64.0,47.0,57.0,33.0,58.0,51.0,32.0,45.0,31.0,60.0,50.0,44.0,8.0,42.0,26.0,59.0,3.0,4.0,10.0,2.0,18.0,0.0,37.0,48.0,34.0,44.0,43.0,38.0,40.0,17.0,50.0,33.0,43.0,44.0,37.0,46.0,36.0,45.0,30.0,38.0,28.0,36.0,36.0,40.0,38.0,28.0,29.0,26.0,58.0,54.0,53.0,65.0,48.0,58.0,34.0,59.0,52.0,33.0,46.0,32.0,61.0,51.0,45.0,43.0,60.0,10.0,12.0,20.0,15.0,17.0,36.0,33.0,35.0,30.0,11.0,13.0,12.0,9.0,30.0,27.0,29.0,28.0,26.0,29.0,22.0,24.0,23.0,25.0,11.0,8.0,20.0,22.0,53.0,23.0,20.0,24.0,21.0,21.0,18.0,5.0,6.0,4.0,2.0,10.0,11.0,9.0,7.0,35.0,39.0,37.0,39.0,63.0,15.0,33.0,14.0,64.0,32.0,26.0,27.0,24.0,8.0,13.0,57.0,66.0,51.0
m67,58.0,62.0,19.0,11.0,8.0,38.0,4.0,12.0,31.0,39.0,21.0,41.0,47.0,26.0,37.0,49.0,60.0,35.0,48.0,5.0,55.0,61.0,22.0,12.0,11.0,18.0,37.0,36.0,38.0,44.0,39.0,46.0,56.0,31.0,13.0,18.0,16.0,41.0,32.0,28.0,14.0,14.0,33.0,31.0,22.0,35.0,39.0,55.0,46.0,41.0,30.0,31.0,3.0,37.0,28.0,33.0,56.0,47.0,43.0,34.0,57.0,32.0,34.0,49.0,31.0,33.0,38.0,28.0,52.0,27.0,34.0,53.0,40.0,54.0,29.0,35.0,41.0,45.0,43.0,59.0,28.0,34.0,41.0,47.0,39.0,55.0,37.0,0.0,17.0,19.0,29.0,12.0,7.0,9.0,36.0,19.0,24.0,14.0,13.0,20.0,15.0,21.0,14.0,27.0,35.0,29.0,37.0,5.0,3.0,7.0,25.0,24.0,27.0,27.0,23.0,22.0,34.0,39.0,29.0,53.0,28.0,35.0,54.0,41.0,55.0,30.0,36.0,42.0,44.0,29.0,43.0,45.0,53.0,38.0,40.0,1.0,4.0,6.0,15.0,30.0,32.0,25.0,28.0,7.0,10.0,8.0,13.0,11.0,14.0,19.0,21.0,18.0,20.0,26.0,29.0,21.0,23.0,44.0,14.0,17.0,13.0,16.0,16.0,19.0,32.0,39.0,37.0,35.0,27.0,34.0,32.0,30.0,4.0,8.0,6.0,4.0,34.0,28.0,10.0,29.0,33.0,11.0,17.0,16.0,19.0,35.0,30.0,40.0,35.0,46.0
m68,53.0,57.0,2.0,28.0,11.0,33.0,21.0,19.0,38.0,22.0,16.0,36.0,42.0,21.0,54.0,44.0,55.0,28.0,43.0,12.0,50.0,56.0,17.0,7.0,6.0,13.0,32.0,19.0,33.0,39.0,34.0,41.0,51.0,24.0,4.0,21.0,23.0,36.0,27.0,45.0,25.0,17.0,36.0,26.0,17.0,38.0,34.0,50.0,41.0,36.0,25.0,48.0,14.0,32.0,23.0,40.0,51.0,42.0,38.0,27.0,52.0,23.0,29.0,44.0,42.0,16.0,33.0,23.0,47.0,22.0,29.0,48.0,35.0,49.0,20.0,30.0,36.0,40.0,38.0,54.0,21.0,51.0,44.0,42.0,46.0,50.0,48.0,17.0,0.0,14.0,24.0,5.0,10.0,8.0,31.0,2.0,19.0,9.0,8.0,15.0,6.0,16.0,7.0,22.0,30.0,24.0,32.0,12.0,20.0,10.0,20.0,19.0,22.0,10.0,14.0,15.0,17.0,34.0,24.0,48.0,23.0,30.0,49.0,36.0,50.0,21.0,31.0,37.0,39.0,22.0,38.0,40.0,48.0,33.0,35.0,18.0,15.0,13.0,18.0,37.0,35.0,42.0,39.0,24.0,21.0,25.0,20.0,22.0,31.0,26.0,24.0,25.0,23.0,43.0,40.0,28.0,26.0,39.0,31.0,28.0,30.0,27.0,33.0,30.0,49.0,42.0,44.0,46.0,44.0,37.0,39.0,41.0,13.0,9.0,11.0,21.0,29.0,45.0,27.0,46.0,28.0,28.0,34.0,33.0,36.0,52.0,47.0,35.0,26.0,41.0
m69,39.0,43.0,16.0,14.0,11.0,19.0,23.0,7.0,24.0,36.0,18.0,22.0,28.0,7.0,40.0,30.0,41.0,32.0,29.0,18.0,36.0,42.0,3.0,7.0,8.0,1.0,18.0,33.0,19.0,25.0,20.0,27.0,37.0,28.0,10.0,7.0,9.0,22.0,13.0,31.0,11.0,5.0,22.0,26.0,17.0,24.0,20.0,36.0,27.0,22.0,27.0,34.0,16.0,20.0,11.0,26.0,37.0,28.0,24.0,31.0,38.0,29.0,15.0,30.0,28.0,30.0,19.0,23.0,33.0,24.0,17.0,34.0,21.0,35.0,26.0,16.0,22.0,26.0,24.0,40.0,25.0,37.0,30.0,28.0,32.0,36.0,34.0,19.0,14.0,0.0,10.0,9.0,12.0,14.0,17.0,16.0,5.0,9.0,10.0,3.0,12.0,2.0,11.0,8.0,16.0,10.0,18.0,14.0,22.0,16.0,6.0,5.0,8.0,24.0,20.0,19.0,31.0,20.0,24.0,34.0,25.0,18.0,35.0,22.0,36.0,27.0,17.0,23.0,25.0,26.0,24.0,26.0,34.0,19.0,21.0,18.0,15.0,13.0,4.0,23.0,21.0,28.0,25.0,12.0,9.0,11.0,6.0,8.0,17.0,12.0,10.0,11.0,9.0,29.0,26.0,14.0,12.0,25.0,17.0,14.0,16.0,13.0,19.0,16.0,35.0,28.0,30.0,32.0,30.0,23.0,25.0,27.0,17.0,13.0,15.0,21.0,29.0,31.0,15.0,32.0,30.0,14.0,20.0,19.0,22.0,38.0,33.0,23.0,32.0,27.0
m70,29.0,33.0,26.0,24.0,21.0,25.0,33.0,17.0,34.0,26.0,8.0,12.0,18.0,13.0,50.0,20.0,31.0,22.0,19.0,28.0,26.0,32.0,13.0,17.0,18.0,11.0,28.0,23.0,9.0,15.0,30.0,17.0,27.0,18.0,20.0,17.0,19.0,12.0,3.0,41.0,21.0,15.0,32.0,16.0,7.0,34.0,26.0,26.0,17.0,28.0,17.0,44.0,26.0,10.0,1.0,36.0,27.0,18.0,14.0,21.0,28.0,19.0,5.0,20.0,38.0,20.0,9.0,13.0,23.0,14.0,7.0,24.0,11.0,25.0,16.0,6.0,12.0,36.0,14.0,30.0,15.0,47.0,40.0,34.0,42.0,26.0,44.0,29.0,24.0,10.0,0.0,19.0,22.0,24.0,27.0,22.0,11.0,15.0,16.0,9.0,18.0,8.0,17.0,14.0,6.0,16.0,8.0,24.0,32.0,26.0,16.0,15.0,18.0,14.0,10.0,9.0,21.0,10.0,14.0,24.0,15.0,8.0,25.0,12.0,26.0,17.0,7.0,13.0,15.0,16.0,34.0,32.0,24.0,29.0,27.0,28.0,25.0,23.0,14.0,33.0,31.0,38.0,35.0,22.0,19.0,21.0,16.0,18.0,27.0,22.0,20.0,21.0,19.0,39.0,36.0,24.0,22.0,15.0,27.0,24.0,26.0,23.0,29.0,26.0,45.0,38.0,40.0,42.0,40.0,33.0,35.0,37.0,27.0,23.0,25.0,31.0,19.0,41.0,25.0,42.0,20.0,24.0,30.0,29.0,32.0,48.0,43.0,13.0,22.0,17.0
m71,48.0,52.0,7.0,23.0,6.0,28.0,16.0,14.0,33.0,27.0,11.0,31.0,37.0,16.0,49.0,39.0,50.0,23.0,38.0,9.0,45.0,51.0,12.0,2.0,1.0,8.0,27.0,24.0,28.0,34.0,29.0,36.0,46.0,19.0,1.0,16.0,18.0,31.0,22.0,40.0,20.0,12.0,31.0,21.0,12.0,33.0,29.0,45.0,36.0,31.0,20.0,43.0,9.0,27.0,18.0,35.0,46.0,37.0,33.0,22.0,47.0,20.0,24.0,39.0,37.0,21.0,28.0,18.0,42.0,17.0,24.0,43.0,30.0,44.0,17.0,25.0,31.0,35.0,33.0,49.0,16.0,46.0,39.0,37.0,41.0,45.0,43.0,12.0,5.0,9.0,19.0,0.0,5.0,5.0,26.0,7.0,14.0,4.0,3.0,10.0,3.0,11.0,2.0,17.0,25.0,19.0,27.0,7.0,15.0,7.0,15.0,14.0,17.0,15.0,11.0,10.0,22.0,29.0,19.0,43.0,18.0,25.0,44.0,31.0,45.0,18.0,26.0,32.0,34.0,17.0,33.0,35.0,43.0,28.0,30.0,13.0,10.0,8.0,13.0,32.0,30.0,37.0,34.0,19.0,16.0,20.0,15.0,17.0,26.0,21.0,19.0,20.0,18.0,38.0,35.0,23.0,21.0,34.0,26.0,23.0,25.0,22.0,28.0,25.0,44.0,37.0,39.0,41.0,39.0,32.0,34.0,36.0,8.0,4.0,6.0,16.0,24.0,40.0,22.0,41.0,23.0,23.0,29.0,28.0,31.0,47.0,42.0,30.0,23.0,36.0
m72,51.0,55.0,12.0,18.0,1.0,31.0,11.0,9.0,28.0,32.0,14.0,34.0,40.0,19.0,44.0,42.0,53.0,28.0,41.0,6.0,48.0,54.0,15.0,5.0,4.0,11.0,30.0,29.0,31.0,37.0,32.0,39.0,49.0,24.0,6.0,11.0,13.0,34.0,25.0,35.0,15.0,7.0,26.0,24.0,15.0,28.0,32.0,48.0,39.0,34.0,23.0,38.0,4.0,30.0,21.0,30.0,49.0,40.0,36.0,27.0,50.0,25.0,27.0,42.0,32.0,26.0,31.0,21.0,45.0,20.0,27.0,46.0,33.0,47.0,22.0,28.0,34.0,38.0,36.0,52.0,21.0,41.0,34.0,40.0,36.0,48.0,38.0,7.0,10.0,12.0,22.0,5.0,0.0,2.0,29.0,12.0,17.0,7.0,6.0,13.0,8.0,14.0,7.0,20.0,28.0,22.0,30.0,2.0,10.0,4.0,18.0,17.0,20.0,20.0,16.0,15.0,27.0,32.0,22.0,46.0,21.0,28.0,47.0,34.0,48.0,23.0,29.0,35.0,37.0,22.0,36.0,38.0,46.0,31.0,33.0,8.0,5.0,3.0,8.0,27.0,25.0,32.0,29.0,14.0,11.0,15.0,10.0,12.0,21.0,16.0,14.0,15.0,13.0,33.0,30.0,18.0,16.0,37.0,21.0,18.0,20.0,17.0,23.0,20.0,39.0,32.0,34.0,36.0,34.0,27.0,29.0,31.0,5.0,1.0,3.0,11.0,27.0,35.0,17.0,36.0,26.0,18.0,24.0,23.0,26.0,42.0,37.0,33.0,28.0,39.0
m73,53.0,57.0,10.0,20.0,3.0,33.0,13.0,11.0,30.0,30.0,16.0,36.0,42.0,21.0,46.0,44.0,55.0,28.0,43.0,4.0,50.0,56.0,17.0,7.0,6.0,13.0,32.0,27.0,33.0,39.0,34.0,41.0,51.0,24.0,4.0,13.0,15.0,36.0,27.0,37.0,17.0,9.0,28.0,26.0,17.0,30.0,34.0,50.0,41.0,36.0,25.0,40.0,6.0,32.0,23.0,32.0,51.0,42.0,38.0,27.0,52.0,23.0,29.0,44.0,34.0,24.0,33.0,23.0,47.0,22.0,29.0,48.0,35.0,49.0,20.0,30.0,36.0,40.0,38.0,54.0,21.0,43.0,36.0,42.0,38.0,50.0,40.0,9.0,8.0,14.0,24.0,5.0,2.0,0.0,31.0,10.0,19.0,9.0,8.0,15.0,6.0,16.0,7.0,22.0,30.0,24.0,32.0,4.0,12.0,2.0,20.0,19.0,22.0,18.0,14.0,15.0,25.0,34.0,24.0,48.0,23.0,30.0,49.0,36.0,50.0,21.0,31.0,37.0,39.0,22.0,38.0,40.0,48.0,33.0,35.0,10.0,7.0,5.0,10.0,29.0,27.0,34.0,31.0,16.0,13.0,17.0,12.0,14.0,23.0,18.0,16.0,17.0,15.0,35.0,32.0,20.0,18.0,39.0,23.0,20.0,22.0,19.0,25.0,22.0,41.0,34.0,36.0,38.0,36.0,29.0,31.0,33.0,5.0,1.0,3.0,13.0,29.0,37.0,19.0,38.0,28.0,20.0,26.0,25.0,28.0,44.0,39.0,35.0,26.0,41.0
m74,22.0,26.0,33.0,25.0,28.0,2.0,40.0,24.0,7.0,53.0,35.0,39.0,33.0,14.0,23.0,31.0,24.0,49.0,12.0,35.0,19.0,25.0,14.0,24.0,25.0,18.0,1.0,50.0,36.0,30.0,3.0,28.0,20.0,45.0,27.0,18.0,20.0,33.0,24.0,14.0,22.0,22.0,5.0,43.0,34.0,7.0,3.0,19.0,10.0,5.0,44.0,17.0,33.0,37.0,28.0,9.0,20.0,11.0,31.0,48.0,21.0,46.0,22.0,13.0,11.0,47.0,30.0,40.0,16.0,41.0,34.0,17.0,28.0,18.0,43.0,33.0,27.0,9.0,25.0,23.0,42.0,20.0,13.0,11.0,15.0,19.0,17.0,36.0,31.0,17.0,27.0,26.0,29.0,31.0,0.0,33.0,16.0,26.0,27.0,20.0,29.0,19.0,28.0,13.0,21.0,11.0,19.0,31.0,39.0,33.0,11.0,12.0,9.0,41.0,37.0,36.0,48.0,31.0,41.0,17.0,42.0,35.0,18.0,29.0,19.0,44.0,34.0,28.0,26.0,43.0,7.0,9.0,17.0,2.0,4.0,35.0,32.0,30.0,21.0,6.0,4.0,11.0,8.0,29.0,26.0,28.0,23.0,25.0,28.0,17.0,15.0,18.0,16.0,12.0,9.0,15.0,13.0,36.0,22.0,19.0,23.0,20.0,20.0,17.0,18.0,11.0,13.0,15.0,13.0,6.0,8.0,10.0,34.0,30.0,32.0,38.0,46.0,14.0,32.0,15.0,47.0,31.0,25.0,26.0,23.0,21.0,16.0,40.0,49.0,34.0
