,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169,m170,m171,m172,m173,m174,m175,m176,m177,m178,m179,m180,m181,m182,m183,m184,m185,m186,m187,m188,m189,m190,m191,m192
m39,4.0,6.0,5.0,6.0,6.0,7.0,8.0,6.0,2.0,4.0,5.0,3.0,2.0,5.0,7.0,3.0,3.0,2.0,6.0,2.0,9.0,12.0,12.0,7.0,8.0,8.0,3.0,4.0,2.0,7.0,1.0,2.0,4.0,3.0,5.0,6.0,4.0,2.0,5.0,3.0,4.0,6.0,7.0,3.0,1.0,3.0,4.0,6.0,2.0,3.0,6.0,6.0,4.0,2.0,4.0,4.0,4.0,5.0,6.0,5.0,3.0,5.0,3.0,1.0,1.0,0.0,6.0,7.0,5.0,3.0,8.0,4.0,6.0,5.0,6.0,3.0,5.0,4.0,6.0,4.0,5.0,2.0,3.0,5.0,7.0,4.0,6.0,3.0,4.0,4.0,7.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,7.0,3.0,1.0,2.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,5.0,9.0,6.0,4.0,6.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,6.0,7.0,8.0,5.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,4.0,5.0,7.0,5.0,6.0,6.0,8.0,7.0,6.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,6.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,7.0,6.0,5.0,3.0,4.0,5.0,6.0,5.0,4.0,7.0,6.0,5.0,8.0,7.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0,4.0,5.0,6.0,7.0,3.0,4.0,4.0,3.0,7.0,4.0,5.0,5.0,6.0,5.0,6.0,8.0,7.0,4.0,5.0,6.0,7.0,6.0,7.0,8.0
m40,10.0,12.0,1.0,8.0,12.0,13.0,6.0,2.0,8.0,4.0,11.0,9.0,6.0,11.0,1.0,5.0,9.0,4.0,12.0,4.0,7.0,12.0,12.0,13.0,10.0,6.0,9.0,10.0,6.0,5.0,7.0,8.0,2.0,3.0,7.0,4.0,6.0,8.0,11.0,9.0,8.0,8.0,5.0,3.0,5.0,7.0,6.0,6.0,4.0,3.0,12.0,8.0,6.0,8.0,10.0,8.0,10.0,7.0,12.0,7.0,9.0,11.0,7.0,5.0,7.0,6.0,0.0,9.0,3.0,5.0,6.0,2.0,6.0,11.0,4.0,3.0,5.0,4.0,12.0,2.0,3.0,8.0,9.0,3.0,5.0,4.0,4.0,9.0,10.0,4.0,9.0,6.0,5.0,6.0,5.0,7.0,8.0,7.0,5.0,5.0,7.0,8.0,3.0,7.0,6.0,5.0,4.0,5.0,6.0,2.0,1.0,9.0,10.0,6.0,12.0,8.0,7.0,6.0,7.0,9.0,8.0,10.0,9.0,11.0,8.0,7.0,9.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,7.0,8.0,5.0,4.0,9.0,7.0,7.0,8.0,6.0,7.0,8.0,10.0,8.0,9.0,5.0,10.0,9.0,7.0,11.0,10.0,4.0,6.0,9.0,10.0,8.0,7.0,8.0,7.0,11.0,9.0,10.0,6.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,7.0,6.0,7.0,5.0,6.0,3.0,4.0,11.0,10.0,9.0,8.0,9.0,8.0,7.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,4.0,5.0,6.0,7.0,5.0,6.0,2.0,3.0,5.0,2.0,1.0,3.0,4.0,5.0,2.0,8.0,7.0,4.0,5.0,6.0,9.0,8.0,7.0,8.0
m41,5.0,9.0,8.0,13.0,7.0,4.0,3.0,9.0,5.0,9.0,8.0,10.0,5.0,6.0,10.0,10.0,8.0,5.0,3.0,7.0,12.0,15.0,17.0,14.0,1.0,7.0,6.0,7.0,9.0,4.0,8.0,7.0,7.0,6.0,2.0,5.0,11.0,9.0,4.0,4.0,3.0,1.0,6.0,8.0,6.0,4.0,3.0,11.0,7.0,8.0,13.0,3.0,5.0,7.0,11.0,11.0,9.0,12.0,5.0,4.0,8.0,12.0,10.0,8.0,6.0,7.0,9.0,0.0,6.0,4.0,11.0,7.0,3.0,12.0,5.0,6.0,4.0,5.0,13.0,7.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,11.0,7.0,12.0,9.0,8.0,9.0,8.0,10.0,11.0,10.0,10.0,6.0,8.0,9.0,6.0,12.0,11.0,10.0,9.0,10.0,9.0,7.0,8.0,14.0,11.0,11.0,13.0,9.0,8.0,7.0,10.0,10.0,9.0,11.0,10.0,12.0,9.0,8.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,11.0,12.0,13.0,10.0,9.0,10.0,6.0,8.0,9.0,7.0,8.0,9.0,11.0,9.0,10.0,10.0,3.0,2.0,2.0,2.0,1.0,9.0,11.0,2.0,11.0,9.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,9.0,7.0,8.0,6.0,4.0,5.0,7.0,8.0,10.0,9.0,8.0,6.0,7.0,8.0,7.0,12.0,11.0,12.0,11.0,10.0,13.0,12.0,11.0,10.0,11.0,12.0,11.0,12.0,11.0,9.0,10.0,11.0,12.0,6.0,5.0,7.0,8.0,10.0,7.0,8.0,8.0,9.0,10.0,9.0,13.0,12.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0
m42,7.0,9.0,2.0,11.0,9.0,10.0,3.0,3.0,5.0,7.0,8.0,8.0,3.0,8.0,4.0,8.0,6.0,3.0,9.0,5.0,6.0,13.0,15.0,12.0,7.0,3.0,6.0,7.0,7.0,2.0,6.0,5.0,1.0,4.0,4.0,1.0,9.0,7.0,8.0,6.0,5.0,5.0,2.0,6.0,4.0,4.0,3.0,9.0,5.0,6.0,11.0,5.0,3.0,5.0,9.0,9.0,7.0,10.0,9.0,4.0,6.0,10.0,8.0,6.0,4.0,5.0,3.0,6.0,0.0,2.0,7.0,3.0,3.0,10.0,1.0,2.0,2.0,1.0,11.0,3.0,2.0,7.0,8.0,4.0,4.0,7.0,5.0,8.0,9.0,5.0,10.0,7.0,6.0,7.0,6.0,8.0,9.0,8.0,6.0,4.0,6.0,7.0,2.0,10.0,9.0,8.0,7.0,8.0,7.0,5.0,4.0,12.0,9.0,9.0,11.0,7.0,6.0,5.0,8.0,8.0,7.0,9.0,8.0,10.0,7.0,6.0,8.0,8.0,6.0,5.0,7.0,6.0,7.0,9.0,10.0,11.0,8.0,7.0,8.0,4.0,6.0,7.0,5.0,6.0,7.0,9.0,7.0,8.0,8.0,7.0,6.0,4.0,8.0,7.0,3.0,5.0,6.0,9.0,7.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,5.0,3.0,4.0,4.0,2.0,3.0,5.0,6.0,6.0,7.0,6.0,4.0,5.0,2.0,1.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,7.0,8.0,9.0,10.0,4.0,3.0,5.0,6.0,8.0,5.0,4.0,6.0,7.0,8.0,3.0,11.0,10.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0
m43,5.0,7.0,4.0,9.0,7.0,8.0,5.0,5.0,3.0,5.0,6.0,6.0,1.0,6.0,6.0,6.0,4.0,1.0,7.0,3.0,8.0,11.0,13.0,10.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,7.0,5.0,6.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,7.0,3.0,4.0,9.0,3.0,1.0,3.0,7.0,7.0,5.0,8.0,7.0,2.0,4.0,8.0,6.0,4.0,2.0,3.0,5.0,4.0,2.0,0.0,7.0,3.0,3.0,8.0,3.0,2.0,2.0,1.0,9.0,3.0,4.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,7.0,3.0,8.0,5.0,4.0,5.0,4.0,6.0,7.0,6.0,6.0,2.0,4.0,5.0,2.0,8.0,7.0,6.0,5.0,6.0,5.0,3.0,4.0,10.0,7.0,7.0,9.0,5.0,4.0,3.0,6.0,6.0,5.0,7.0,6.0,8.0,5.0,4.0,6.0,6.0,4.0,3.0,5.0,4.0,5.0,7.0,8.0,9.0,6.0,5.0,6.0,2.0,4.0,5.0,3.0,4.0,5.0,7.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0,7.0,4.0,7.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,7.0,5.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,6.0,5.0,4.0,2.0,3.0,4.0,3.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,5.0,6.0,7.0,8.0,2.0,1.0,3.0,4.0,6.0,3.0,4.0,4.0,5.0,6.0,5.0,9.0,8.0,5.0,6.0,7.0,6.0,5.0,6.0,7.0
m44,12.0,14.0,5.0,14.0,14.0,15.0,10.0,6.0,10.0,10.0,13.0,11.0,8.0,13.0,7.0,11.0,11.0,6.0,14.0,8.0,1.0,16.0,8.0,7.0,12.0,8.0,11.0,12.0,10.0,9.0,9.0,10.0,6.0,7.0,9.0,8.0,12.0,10.0,13.0,11.0,10.0,10.0,7.0,9.0,7.0,9.0,8.0,2.0,6.0,5.0,6.0,10.0,8.0,10.0,6.0,12.0,12.0,13.0,14.0,9.0,11.0,7.0,11.0,9.0,9.0,8.0,6.0,11.0,7.0,7.0,0.0,4.0,8.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,8.0,9.0,3.0,3.0,4.0,2.0,7.0,8.0,8.0,7.0,4.0,5.0,10.0,9.0,9.0,8.0,3.0,1.0,7.0,9.0,10.0,5.0,13.0,12.0,11.0,10.0,11.0,10.0,8.0,7.0,5.0,8.0,12.0,6.0,10.0,5.0,6.0,11.0,9.0,10.0,8.0,9.0,7.0,8.0,9.0,7.0,11.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,9.0,10.0,9.0,9.0,7.0,10.0,8.0,9.0,8.0,8.0,6.0,7.0,9.0,12.0,11.0,9.0,13.0,12.0,4.0,2.0,11.0,6.0,4.0,5.0,6.0,7.0,7.0,5.0,6.0,8.0,2.0,4.0,3.0,5.0,7.0,6.0,4.0,3.0,1.0,2.0,3.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,7.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,8.0,7.0,6.0,5.0,7.0,8.0,6.0,7.0,1.0,4.0,5.0,3.0,2.0,3.0,6.0,4.0,3.0,6.0,5.0,4.0,3.0,2.0,1.0,2.0
m45,8.0,10.0,1.0,10.0,10.0,11.0,6.0,2.0,6.0,6.0,9.0,7.0,4.0,9.0,3.0,7.0,7.0,2.0,10.0,4.0,5.0,12.0,12.0,11.0,8.0,4.0,7.0,8.0,6.0,5.0,5.0,6.0,2.0,3.0,5.0,4.0,8.0,6.0,9.0,7.0,6.0,6.0,3.0,5.0,3.0,5.0,4.0,6.0,2.0,3.0,10.0,6.0,4.0,6.0,8.0,8.0,8.0,9.0,10.0,5.0,7.0,9.0,7.0,5.0,5.0,4.0,2.0,7.0,3.0,3.0,4.0,0.0,4.0,9.0,2.0,1.0,3.0,2.0,10.0,2.0,1.0,6.0,7.0,1.0,3.0,4.0,2.0,7.0,8.0,4.0,7.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,3.0,3.0,5.0,6.0,1.0,9.0,8.0,7.0,6.0,7.0,6.0,4.0,3.0,9.0,8.0,8.0,10.0,6.0,5.0,4.0,7.0,7.0,6.0,8.0,7.0,9.0,6.0,5.0,7.0,7.0,3.0,4.0,4.0,5.0,4.0,6.0,7.0,8.0,5.0,6.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,8.0,6.0,7.0,5.0,8.0,7.0,5.0,9.0,8.0,2.0,4.0,7.0,8.0,6.0,5.0,6.0,5.0,9.0,7.0,8.0,6.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0,2.0,9.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,7.0,6.0,4.0,5.0,6.0,7.0,3.0,4.0,2.0,3.0,5.0,2.0,1.0,3.0,4.0,5.0,2.0,8.0,7.0,4.0,5.0,6.0,7.0,6.0,5.0,6.0
m46,4.0,8.0,5.0,12.0,6.0,7.0,2.0,6.0,4.0,8.0,7.0,9.0,4.0,5.0,7.0,9.0,7.0,4.0,6.0,6.0,9.0,14.0,16.0,13.0,4.0,4.0,5.0,6.0,8.0,1.0,7.0,6.0,4.0,5.0,1.0,2.0,10.0,8.0,5.0,3.0,2.0,2.0,3.0,7.0,5.0,3.0,2.0,10.0,6.0,7.0,12.0,2.0,4.0,6.0,10.0,10.0,8.0,11.0,6.0,3.0,7.0,11.0,9.0,7.0,5.0,6.0,6.0,3.0,3.0,3.0,8.0,4.0,0.0,11.0,2.0,3.0,1.0,2.0,12.0,4.0,5.0,8.0,9.0,5.0,7.0,8.0,6.0,9.0,10.0,6.0,11.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,7.0,5.0,7.0,8.0,3.0,11.0,10.0,9.0,8.0,9.0,8.0,6.0,5.0,13.0,10.0,10.0,12.0,8.0,7.0,6.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,7.0,9.0,9.0,7.0,6.0,8.0,7.0,8.0,10.0,11.0,12.0,9.0,8.0,9.0,5.0,7.0,8.0,6.0,7.0,8.0,10.0,8.0,9.0,9.0,4.0,3.0,1.0,5.0,4.0,6.0,8.0,3.0,10.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0,6.0,4.0,5.0,5.0,3.0,4.0,6.0,7.0,7.0,8.0,7.0,5.0,6.0,5.0,4.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,8.0,9.0,10.0,11.0,5.0,4.0,6.0,7.0,9.0,6.0,5.0,7.0,8.0,9.0,6.0,12.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0
m47,7.0,9.0,10.0,9.0,9.0,10.0,13.0,11.0,7.0,9.0,8.0,6.0,7.0,8.0,12.0,6.0,6.0,7.0,9.0,7.0,6.0,17.0,9.0,2.0,13.0,11.0,6.0,7.0,5.0,12.0,4.0,5.0,9.0,8.0,10.0,11.0,7.0,5.0,8.0,8.0,9.0,11.0,10.0,8.0,6.0,8.0,9.0,5.0,7.0,8.0,1.0,11.0,7.0,5.0,1.0,7.0,7.0,8.0,9.0,10.0,6.0,2.0,6.0,6.0,6.0,5.0,11.0,12.0,10.0,8.0,5.0,9.0,11.0,0.0,9.0,8.0,10.0,9.0,1.0,9.0,8.0,3.0,4.0,8.0,6.0,7.0,7.0,2.0,3.0,9.0,4.0,5.0,6.0,5.0,6.0,4.0,3.0,4.0,6.0,6.0,4.0,5.0,8.0,8.0,7.0,8.0,7.0,6.0,5.0,9.0,10.0,6.0,3.0,7.0,1.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,5.0,5.0,4.0,5.0,7.0,6.0,5.0,8.0,7.0,4.0,6.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,6.0,9.0,10.0,12.0,10.0,11.0,7.0,5.0,12.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,5.0,7.0,6.0,8.0,8.0,7.0,7.0,6.0,4.0,5.0,4.0,6.0,5.0,10.0,9.0,2.0,1.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,7.0,6.0,5.0,4.0,8.0,9.0,9.0,8.0,6.0,9.0,10.0,8.0,7.0,6.0,11.0,5.0,4.0,7.0,6.0,5.0,4.0,3.0,4.0,5.0
m48,6.0,8.0,3.0,12.0,8.0,9.0,4.0,4.0,4.0,8.0,7.0,9.0,4.0,7.0,5.0,9.0,7.0,4.0,8.0,6.0,7.0,14.0,14.0,11.0,6.0,2.0,5.0,6.0,8.0,3.0,7.0,6.0,2.0,5.0,3.0,2.0,10.0,8.0,7.0,5.0,4.0,4.0,1.0,7.0,5.0,3.0,2.0,8.0,4.0,5.0,10.0,4.0,2.0,4.0,8.0,10.0,8.0,11.0,8.0,3.0,5.0,9.0,9.0,7.0,5.0,6.0,4.0,5.0,1.0,3.0,6.0,2.0,2.0,9.0,0.0,3.0,1.0,2.0,10.0,4.0,3.0,6.0,7.0,3.0,5.0,6.0,4.0,7.0,8.0,6.0,9.0,6.0,5.0,8.0,7.0,7.0,8.0,7.0,5.0,3.0,5.0,6.0,1.0,11.0,10.0,9.0,8.0,9.0,8.0,6.0,5.0,11.0,8.0,10.0,10.0,8.0,5.0,4.0,9.0,7.0,8.0,8.0,7.0,9.0,6.0,7.0,7.0,9.0,5.0,6.0,6.0,5.0,6.0,8.0,9.0,10.0,7.0,8.0,7.0,3.0,5.0,8.0,4.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,3.0,7.0,6.0,4.0,6.0,5.0,8.0,6.0,7.0,6.0,7.0,9.0,7.0,8.0,8.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,5.0,5.0,6.0,5.0,3.0,4.0,3.0,2.0,9.0,8.0,9.0,8.0,7.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,6.0,7.0,8.0,9.0,5.0,4.0,4.0,5.0,7.0,4.0,3.0,5.0,6.0,7.0,4.0,10.0,9.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
m49,7.0,9.0,2.0,9.0,9.0,10.0,5.0,3.0,5.0,5.0,8.0,6.0,3.0,8.0,4.0,6.0,6.0,1.0,9.0,3.0,6.0,11.0,13.0,10.0,7.0,5.0,6.0,7.0,5.0,4.0,4.0,5.0,1.0,2.0,4.0,3.0,7.0,5.0,8.0,6.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,7.0,3.0,4.0,9.0,5.0,3.0,5.0,7.0,7.0,7.0,8.0,9.0,4.0,6.0,8.0,6.0,4.0,4.0,3.0,3.0,6.0,2.0,2.0,5.0,1.0,3.0,8.0,3.0,0.0,2.0,1.0,9.0,1.0,2.0,5.0,6.0,2.0,4.0,5.0,3.0,6.0,7.0,3.0,8.0,5.0,4.0,5.0,4.0,6.0,7.0,6.0,4.0,2.0,4.0,5.0,2.0,8.0,7.0,6.0,5.0,6.0,5.0,3.0,2.0,10.0,7.0,7.0,9.0,5.0,4.0,3.0,6.0,6.0,5.0,7.0,6.0,8.0,5.0,4.0,6.0,6.0,4.0,3.0,5.0,4.0,5.0,7.0,8.0,9.0,6.0,5.0,6.0,4.0,4.0,5.0,3.0,4.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,4.0,8.0,7.0,3.0,5.0,6.0,7.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,7.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,5.0,6.0,7.0,8.0,2.0,3.0,3.0,4.0,6.0,3.0,2.0,4.0,5.0,6.0,3.0,9.0,8.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0
m50,5.0,7.0,4.0,11.0,7.0,8.0,3.0,5.0,3.0,7.0,6.0,8.0,3.0,6.0,6.0,8.0,6.0,3.0,7.0,5.0,8.0,13.0,15.0,12.0,5.0,3.0,4.0,5.0,7.0,2.0,6.0,5.0,3.0,4.0,2.0,1.0,9.0,7.0,6.0,4.0,3.0,3.0,2.0,6.0,4.0,2.0,1.0,9.0,5.0,6.0,11.0,3.0,3.0,5.0,9.0,9.0,7.0,10.0,7.0,2.0,6.0,10.0,8.0,6.0,4.0,5.0,5.0,4.0,2.0,2.0,7.0,3.0,1.0,10.0,1.0,2.0,0.0,1.0,11.0,3.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,9.0,5.0,10.0,7.0,6.0,7.0,6.0,8.0,9.0,8.0,6.0,4.0,6.0,7.0,2.0,10.0,9.0,8.0,7.0,8.0,7.0,5.0,4.0,12.0,9.0,9.0,11.0,7.0,6.0,5.0,8.0,8.0,7.0,9.0,8.0,10.0,7.0,6.0,8.0,8.0,6.0,5.0,7.0,6.0,7.0,9.0,10.0,11.0,8.0,7.0,8.0,4.0,6.0,7.0,5.0,6.0,7.0,9.0,7.0,8.0,8.0,5.0,4.0,2.0,6.0,5.0,5.0,7.0,4.0,9.0,7.0,8.0,7.0,8.0,10.0,8.0,9.0,9.0,5.0,3.0,4.0,4.0,2.0,3.0,5.0,6.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,7.0,8.0,9.0,10.0,4.0,3.0,5.0,6.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0,11.0,10.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0
m51,6.0,8.0,3.0,10.0,8.0,9.0,4.0,4.0,4.0,6.0,7.0,7.0,2.0,7.0,5.0,7.0,5.0,2.0,8.0,4.0,7.0,12.0,14.0,11.0,6.0,4.0,5.0,6.0,6.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,8.0,6.0,7.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,8.0,4.0,5.0,10.0,4.0,2.0,4.0,8.0,8.0,6.0,9.0,8.0,3.0,5.0,9.0,7.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,6.0,2.0,2.0,9.0,2.0,1.0,1.0,0.0,10.0,2.0,3.0,6.0,7.0,3.0,5.0,6.0,4.0,7.0,8.0,4.0,9.0,6.0,5.0,6.0,5.0,7.0,8.0,7.0,5.0,3.0,5.0,6.0,1.0,9.0,8.0,7.0,6.0,7.0,6.0,4.0,3.0,11.0,8.0,8.0,10.0,6.0,5.0,4.0,7.0,7.0,6.0,8.0,7.0,9.0,6.0,5.0,7.0,7.0,5.0,4.0,6.0,5.0,6.0,8.0,9.0,10.0,7.0,6.0,7.0,3.0,5.0,6.0,4.0,5.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,3.0,7.0,6.0,4.0,6.0,5.0,8.0,6.0,7.0,6.0,7.0,9.0,7.0,8.0,8.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,5.0,5.0,6.0,5.0,3.0,4.0,3.0,2.0,9.0,8.0,9.0,8.0,7.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,6.0,7.0,8.0,9.0,3.0,2.0,4.0,5.0,7.0,4.0,3.0,5.0,6.0,7.0,4.0,10.0,9.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0
m52,8.0,8.0,11.0,8.0,8.0,9.0,14.0,12.0,8.0,10.0,7.0,5.0,8.0,7.0,13.0,7.0,5.0,8.0,10.0,8.0,7.0,18.0,10.0,1.0,14.0,12.0,7.0,6.0,6.0,13.0,5.0,6.0,10.0,9.0,11.0,12.0,8.0,4.0,9.0,9.0,10.0,12.0,11.0,9.0,7.0,9.0,10.0,6.0,8.0,9.0,2.0,12.0,8.0,6.0,2.0,6.0,6.0,7.0,8.0,11.0,5.0,1.0,5.0,7.0,7.0,6.0,12.0,13.0,11.0,9.0,6.0,10.0,12.0,1.0,10.0,9.0,11.0,10.0,0.0,10.0,9.0,4.0,3.0,9.0,7.0,8.0,8.0,3.0,2.0,10.0,5.0,6.0,7.0,6.0,7.0,5.0,4.0,5.0,7.0,7.0,5.0,4.0,9.0,7.0,6.0,9.0,8.0,7.0,6.0,10.0,11.0,7.0,4.0,6.0,2.0,4.0,5.0,6.0,5.0,3.0,4.0,2.0,3.0,1.0,4.0,5.0,3.0,5.0,7.0,6.0,6.0,5.0,6.0,8.0,7.0,6.0,9.0,8.0,3.0,7.0,5.0,4.0,6.0,5.0,4.0,2.0,4.0,3.0,7.0,10.0,11.0,13.0,11.0,12.0,8.0,6.0,13.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,6.0,6.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,5.0,6.0,5.0,7.0,6.0,11.0,10.0,3.0,2.0,5.0,4.0,3.0,6.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,8.0,7.0,6.0,5.0,9.0,10.0,10.0,9.0,7.0,10.0,11.0,9.0,8.0,7.0,12.0,6.0,5.0,8.0,7.0,6.0,5.0,4.0,5.0,6.0
m53,8.0,10.0,1.0,8.0,10.0,11.0,6.0,2.0,6.0,4.0,9.0,7.0,4.0,9.0,3.0,5.0,7.0,2.0,10.0,2.0,7.0,10.0,12.0,11.0,8.0,6.0,7.0,8.0,4.0,5.0,5.0,6.0,2.0,1.0,5.0,4.0,6.0,6.0,9.0,7.0,6.0,6.0,5.0,3.0,3.0,5.0,4.0,6.0,2.0,3.0,10.0,6.0,4.0,6.0,8.0,6.0,8.0,7.0,10.0,5.0,7.0,9.0,5.0,3.0,5.0,4.0,2.0,7.0,3.0,3.0,6.0,2.0,4.0,9.0,4.0,1.0,3.0,2.0,10.0,0.0,3.0,6.0,7.0,3.0,5.0,4.0,4.0,7.0,8.0,2.0,7.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0,3.0,7.0,6.0,5.0,4.0,5.0,4.0,2.0,1.0,9.0,8.0,6.0,10.0,6.0,5.0,4.0,5.0,7.0,6.0,8.0,7.0,9.0,6.0,5.0,7.0,5.0,3.0,4.0,4.0,5.0,4.0,6.0,7.0,8.0,5.0,4.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,8.0,6.0,7.0,5.0,8.0,7.0,5.0,9.0,8.0,4.0,6.0,7.0,8.0,6.0,5.0,6.0,5.0,9.0,7.0,8.0,6.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,9.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,9.0,8.0,7.0,6.0,4.0,5.0,6.0,7.0,3.0,4.0,2.0,3.0,5.0,2.0,1.0,3.0,4.0,5.0,2.0,8.0,7.0,4.0,5.0,6.0,7.0,6.0,5.0,6.0
